geocoes:name,geocies:name,geocies:zipCode,geocies:idStat,geocigres:name,geon3es:name,geon2es:name,geocoes:idIso,geon3es:idIso,geon3es:idStat,geon2es:idIso,geon2es:idStat,geocoes:statisticalInstitute,geo_borough:name
España,Cabrils,8348,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Cabrera De Mar,8349,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Arenys De Mar,8350,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Arenys De Munt,8358,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Collsacreu (Vallgorguina),8358,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Iscle De Vallalta,8359,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Canet De Mar,8360,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Calella,8370,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Malgrat De Mar,8380,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Palafolls,8389,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Genís De Palafolls,8389,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Montgat,8390,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Tiana,8391,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Andreu De Llavaneres,8392,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Caldes D'Estrac,8393,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Vicenç De Montalt,8394,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Pol De Mar,8395,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cebria De Vallalta,8396,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Pineda De Mar,8397,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Santa Susanna,8398,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granollers,8400,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granollers,8401,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granollers,8402,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granollers,8403,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granollers,8404,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
